,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.25684210526315787,0.0,0.043859649122807015,0.014925373134328358,0.0,1.0,0.5,0.0,0.9230769230769231,0.875,1.0,1.0,0.0,0.0,0.40236686390532544,1.0
1,0.6754887218045112,0.15928571428571428,0.10666666666666666,0.08955223880597014,0.005600000000000001,0.0,0.5,0.0,0.7692307692307693,0.375,1.0,1.0,0.0,0.0,0.0650887573964497,1.0
2,0.16165413533834586,0.017857142857142856,0.05263157894736842,0.0,0.00824,0.0,0.5,0.0,0.7692307692307693,0.375,1.0,0.0,0.0,0.0,0.5680473372781065,1.0
3,0.21172932330827063,0.055,0.13157894736842105,0.07462686567164178,3.0000000000000004e-05,1.0,0.5,0.0,0.9230769230769231,0.875,1.0,1.0,1.0,0.0,0.1834319526627219,1.0
4,0.09654135338345868,0.20089285714285712,0.06,0.0,0.0,1.0,0.5,0.0,0.9230769230769231,0.875,1.0,0.0,0.0,1.0,0.21893491124260356,1.0
5,0.2756390977443609,0.14285714285714285,0.08771929824561403,0.0,0.0,1.0,0.5,0.0,0.6923076923076923,0.875,1.0,0.0,1.0,0.0,0.6804733727810651,1.0
6,0.29203007518797,0.037142857142857144,0.22807017543859648,0.0,0.31285,1.0,0.5,0.0,0.8461538461538463,0.375,1.0,0.0,1.0,0.0,0.3195266272189349,1.0
7,0.13789473684210526,0.41375,0.0014035087719298245,0.0,0.01349,0.0,0.5,0.0,0.15384615384615385,0.875,1.0,0.0,0.0,0.0,0.13609467455621302,1.0
8,0.6115789473684211,0.017857142857142856,0.13894736842105262,0.0,0.0031400000000000004,1.0,1.0,1.0,0.6153846153846154,0.375,1.0,0.0,0.0,0.0,0.3668639053254438,1.0
9,0.43233082706766923,0.17553571428571427,0.11105263157894736,0.0,0.01442,1.0,1.0,1.0,0.9230769230769231,0.875,1.0,0.0,1.0,0.0,0.08875739644970414,1.0
10,0.12526315789473683,0.02964285714285714,0.07596491228070175,0.0,0.0,1.0,0.5,0.0,0.07692307692307693,0.375,0.0,0.0,1.0,0.0,0.23076923076923075,1.0
11,0.2431578947368421,0.06553571428571428,0.15210526315789472,0.0,0.002,1.0,0.5,0.0,0.07692307692307693,0.375,1.0,0.0,0.0,0.0,0.5325443786982248,1.0
12,0.368421052631579,0.21428571428571427,0.03508771929824561,0.0,0.0,0.0,0.5,0.0,0.6153846153846154,0.875,1.0,0.0,1.0,0.0,0.0,1.0
13,0.5162406015037594,0.2157142857142857,0.0014035087719298245,0.0,0.026900000000000004,1.0,0.5,0.0,0.6153846153846154,0.875,0.0,0.0,0.0,0.0,0.0,1.0
